track_name,artist_name,album_name,popularity,duration_ms,release_date,duration_minutes,release_year,popularity_category
Kesariya,Arijit Singh,Brahmastra,90,245000,2022-09-09,4.0833333333,2022,High
Tum Hi Ho,Arijit Singh,Aashiqui 2,95,262000,2013-04-26,4.3666666667000005,2013,High
Blinding Lights,The Weeknd,After Hours,98,200040,2020-03-20,3.334,2020,High
Shape of You,Ed Sheeran,Divide,97,233712,2017-01-06,3.8952,2017,High
Levitating,Dua Lipa,Future Nostalgia,91,203000,2020-03-27,3.3833333333,2020,High
Stay,The Kid LAROI,F*CK LOVE 3,92,141806,2021-07-09,2.3634333333,2021,High
Perfect,Ed Sheeran,Divide,93,263400,2017-03-03,4.39,2017,High
Believer,Imagine Dragons,Evolve,94,204346,2017-02-01,3.4057666667,2017,High
Senorita,Shawn Mendes,Shawn Mendes,89,191000,2019-06-21,3.1833333333000002,2019,High
Dance Monkey,Tones and I,The Kids Are Coming,88,209438,2019-05-10,3.4906333333,2019,High
Raabta,Arijit Singh,Agent Vinod,86,242000,2012-03-02,4.0333333333,2012,High
Apna Bana Le,Arijit Singh,Bhediya,87,230000,2022-11-25,3.8333333333,2022,High
Channa Mereya,Arijit Singh,Ae Dil Hai Mushkil,92,289000,2016-10-28,4.8166666667,2016,High
Kalank Title Track,Arijit Singh,Kalank,84,312000,2019-04-17,5.2,2019,High
Phir Le Aya Dil,Arijit Singh,Barfi,82,260000,2012-09-14,4.3333333333,2012,High
Sunflower,Post Malone,Hollywood's Bleeding,94,158040,2019-09-06,2.634,2019,High
Rockstar,Post Malone,Beerbongs & Bentleys,93,218000,2018-04-27,3.6333333333,2018,High
Happier,Marshmello,Joytime II,90,214000,2018-08-17,3.5666666666999998,2018,High
Faded,Alan Walker,Different World,91,212000,2015-12-03,3.5333333333,2015,High
Closer,The Chainsmokers,Collage,92,244960,2016-07-29,4.0826666667,2016,High
Bad Guy,Billie Eilish,When We All Fall Asleep,94,194000,2019-03-29,3.2333333333,2019,High
Lovely,Billie Eilish,Dont Smile At Me,89,201000,2018-04-19,3.35,2018,High
Peaches,Justin Bieber,Justice,88,198000,2021-03-19,3.3,2021,High
Sorry,Justin Bieber,Purpose,90,200000,2015-10-23,3.3333333333,2015,High
Love Yourself,Justin Bieber,Purpose,89,233000,2015-11-13,3.8833333333,2015,High
Heat Waves,Glass Animals,Dreamland,92,238000,2020-06-29,3.9666666667,2020,High
Industry Baby,Lil Nas X,Montero,91,212000,2021-07-23,3.5333333333,2021,High
Old Town Road,Lil Nas X,7 EP,93,157000,2019-03-14,2.6166666667,2019,High
Montero,Lil Nas X,Montero,90,137000,2021-03-26,2.2833333333,2021,High
Circles,Post Malone,Hollywood's Bleeding,94,215000,2019-08-30,3.5833333333,2019,High
Shivers,Ed Sheeran,Equals,90,207000,2021-09-10,3.45,2021,High
Bad Habits,Ed Sheeran,Equals,91,231000,2021-06-25,3.85,2021,High
Thinking Out Loud,Ed Sheeran,Multiply,92,281000,2014-06-20,4.6833333333,2014,High
Photograph,Ed Sheeran,Multiply,88,258000,2014-06-20,4.3,2014,High
Galway Girl,Ed Sheeran,Divide,87,170000,2017-03-03,2.8333333333,2017,High
Attention,Charlie Puth,Voicenotes,89,208000,2018-05-11,3.4666666667,2018,High
See You Again,Wiz Khalifa,Furious 7,93,229000,2015-03-10,3.8166666666999998,2015,High
Counting Stars,OneRepublic,Native,90,257000,2013-06-14,4.2833333333,2013,High
Apologize,OneRepublic,Dreaming Out Loud,85,208000,2007-11-20,3.4666666667,2007,High
Secrets,OneRepublic,Waking Up,86,224000,2009-11-17,3.7333333333,2009,High
Viva La Vida,Coldplay,Viva La Vida,91,242000,2008-05-25,4.0333333333,2008,High
Paradise,Coldplay,Mylo Xyloto,90,278000,2011-10-24,4.6333333332999995,2011,High
Yellow,Coldplay,Parachutes,88,269000,2000-07-10,4.4833333333,2000,High
Hymn For The Weekend,Coldplay,A Head Full of Dreams,89,258000,2016-01-25,4.3,2016,High
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,87,263000,2015-11-06,4.3833333333,2015,High
Let Her Go,Passenger,All the Little Lights,90,252000,2012-02-24,4.2,2012,High
Riptide,Vance Joy,Dream Your Life Away,88,204000,2013-03-22,3.4,2013,High
Ho Hey,The Lumineers,The Lumineers,85,163000,2012-04-03,2.7166666667,2012,High
Take Me To Church,Hozier,Hozier,92,241000,2013-09-13,4.0166666667,2013,High
Someone You Loved,Lewis Capaldi,Divinely Uninspired,94,182000,2018-11-08,3.0333333333,2018,High
